City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,buncrana,55.1333,-7.45,60.57,88,100,20.02,IE,1690821035
201,mahibadhoo,3.7833,72.9667,82.76,75,93,6.82,MV,1690821036
202,ed damer,17.5928,33.9592,102.78,12,8,7.61,SD,1690821036
203,jasidih,24.5167,86.65,88.83,66,98,1.45,IN,1690821037
204,velyka lepetykha,47.1757,33.9436,83.28,42,60,6.24,UA,1690821037
205,villamontes,-21.25,-63.5,85.44,42,0,0.0,BO,1690821037
206,nosy varika,-20.5833,48.5333,70.72,86,19,7.34,MG,1690821037
207,tahe,52.3333,124.7333,66.45,90,83,3.87,CN,1690821038
208,brookings,44.3114,-96.7984,79.05,70,0,10.36,US,1690820738
209,jutai,-5.1833,-68.9,95.68,31,34,3.8,BR,1690821038
210,singaraja,-8.112,115.0882,76.32,83,55,2.84,ID,1690821039
211,udachny,66.4167,112.4,59.45,35,2,3.87,RU,1690821039
212,kalianget,-7.05,113.9333,79.47,75,24,14.27,ID,1690821039
213,dingli,35.8614,14.3822,87.96,45,0,17.27,MT,1690821040
214,tamanrasset,22.785,5.5228,100.31,8,0,16.11,DZ,1690821040
215,ribeira grande,38.5167,-28.7,81.0,83,40,14.0,PT,1690821040
216,dakhla,23.6848,-15.958,78.82,65,54,25.32,EH,1690821040
217,west island,-12.1568,96.8225,76.98,83,40,13.8,CC,1690821041
218,rey bouba,8.6724,14.1786,82.17,74,100,4.41,CM,1690821041
219,alofi,-19.0595,-169.9187,69.69,94,75,6.91,NU,1690821041
220,novaya igirma,57.1334,103.9112,62.74,82,19,2.73,RU,1690821041
221,heroica caborca,30.7167,-112.15,93.87,33,31,9.73,MX,1690821042
222,haiku-pauwela,20.9219,-156.3051,76.05,81,20,5.99,US,1690821042
223,mhamid,29.82,-5.72,114.12,5,6,5.23,MA,1690821042
224,bam,29.106,58.357,92.53,8,0,11.23,IR,1690821042
225,tazovsky,67.4667,78.7,57.79,80,49,10.0,RU,1690821043
226,guerrero negro,27.9769,-114.0611,77.81,58,0,3.4,MX,1690820757
227,east london,-33.0153,27.9116,58.14,47,0,11.5,ZA,1690820762
228,utrik,11.2278,169.8474,82.33,80,100,14.16,MH,1690821043
229,kuching,1.55,110.3333,81.99,94,20,4.61,MY,1690820914
230,novoul'yanovsk,54.1496,48.3891,69.35,66,84,7.65,RU,1690821044
231,pangody,65.85,74.4859,65.16,73,70,8.41,RU,1690821044
232,puerto deseado,-47.7503,-65.8938,42.08,69,100,36.64,AR,1690821044
233,saint-francois,46.4154,3.9054,81.84,36,0,1.14,FR,1690821045
234,yerofey pavlovich,53.9667,121.9667,62.11,89,24,3.11,RU,1690821045
235,punta gorda,26.9298,-82.0454,93.18,72,20,11.5,US,1690821045
236,sassandra,4.95,-6.0833,77.67,86,54,9.55,CI,1690821045
237,natal,-5.795,-35.2094,84.42,61,40,17.27,BR,1690821046
238,zalingei,12.9096,23.4741,77.83,70,61,13.71,SD,1690821046
239,rio grande,-32.035,-52.0986,69.91,61,9,2.28,BR,1690821046
240,anadyr,64.75,177.4833,52.3,93,40,4.47,RU,1690821046
241,namibe,-15.1961,12.1522,64.2,76,14,7.96,AO,1690821047
242,mitchell,43.7094,-98.0298,80.74,73,0,11.5,US,1690821044
243,guarapari,-20.6667,-40.4975,70.9,72,76,7.58,BR,1690821047
244,praia a mare,39.9009,15.7793,79.47,72,68,1.81,IT,1690821047
245,dhuusamarreeb,5.535,46.3861,82.72,47,88,16.93,SO,1690821048
246,balkanabat,39.5108,54.3671,91.47,35,38,9.37,TM,1690821048
247,tumayr,25.7039,45.868,101.1,9,38,10.51,SA,1690821048
248,el calafate,-50.3408,-72.2768,27.41,89,96,0.56,AR,1690821048
249,magadan,59.5667,150.8,54.54,86,100,5.5,RU,1690821049
250,envira,-7.3,-70.2167,95.38,27,18,3.51,BR,1690821049
251,shimoda,34.6667,138.95,81.1,87,100,7.92,JP,1690821049
252,puerto real,36.5282,-6.1901,90.61,53,0,12.66,ES,1690821049
253,ambalangoda,6.2355,80.0538,79.36,89,81,9.06,LK,1690821050
254,acarau,-2.8856,-40.12,89.42,52,4,17.02,BR,1690820775
255,labrador city,52.9463,-66.9114,57.11,67,100,8.05,CA,1690821009
256,san patricio,28.017,-97.5169,93.16,41,37,6.35,US,1690821050
257,bima,-8.4667,118.7167,71.53,94,12,3.24,ID,1690821050
258,yendi,9.4427,-0.0099,82.17,76,100,4.59,GH,1690821051
259,kerikeri,-35.2268,173.9474,48.22,95,7,2.17,NZ,1690821051
260,kavieng,-2.5744,150.7967,82.36,79,94,12.57,PG,1690821051
261,inarajan village,13.2736,144.7484,84.4,90,100,7.31,GU,1690821052
262,revda,56.801,59.9303,66.97,72,97,4.14,RU,1690821052
263,mogadishu,2.0371,45.3438,76.59,87,33,16.13,SO,1690821052
264,kenai,60.5544,-151.2583,59.14,92,100,8.05,US,1690821052
265,pico truncado,-46.7949,-67.9573,41.13,73,100,34.27,AR,1690821053
266,antigonish,45.6169,-61.9986,76.14,71,27,1.99,CA,1690820949
267,moab,38.5733,-109.5498,87.62,37,77,2.1,US,1690821053
268,newman,37.3138,-121.0208,82.24,16,38,4.7,US,1690821053
269,botro,7.8525,-5.3106,81.88,78,98,2.26,CI,1690821054
270,aketi,2.7388,23.7833,72.68,97,97,4.81,CD,1690821054
271,suva,-18.1416,178.4415,69.28,94,75,11.5,FJ,1690821054
272,st. john's,47.5649,-52.7093,70.16,79,75,5.75,CA,1690821007
273,sandnessjoen,66.0217,12.6316,77.52,77,20,3.44,NO,1690821054
274,mili,6.0815,171.735,81.39,80,100,11.72,MH,1690821055
275,tura,25.5198,90.2201,79.48,85,99,2.28,IN,1690821055
276,kasongo-lunda,-6.4667,16.8167,86.77,28,15,3.06,CD,1690821056
277,jayapura,-2.5333,140.7,78.19,90,89,3.33,ID,1690821008
278,badger,64.8,-147.5333,64.51,83,75,0.0,US,1690821056
279,rikaze,29.25,88.8833,62.82,53,100,6.87,CN,1690821056
280,mumford,5.2618,-0.759,76.82,89,99,12.68,GH,1690821057
281,kodiak,57.79,-152.4072,56.71,88,100,0.0,US,1690821057
282,chonchi,-42.6128,-73.8092,54.61,84,100,16.62,CL,1690821057
283,dhidhdhoo,6.8833,73.1,83.17,76,100,14.14,MV,1690821057
284,petoskey,45.3733,-84.9553,74.82,70,75,8.99,US,1690821058
285,maracaibo,10.6317,-71.6406,93.31,53,78,6.55,VE,1690821055
286,fort mcmurray,56.7268,-111.381,67.59,88,100,8.05,CA,1690820814
